,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
254,Death Brade,I'Max,I'Max,"July 16, 1993",Unreleased,Unreleased,,1993-07-16,,,1993,7,,,,
255,Dekitate High School,C-Lab,Bullet-Proof Software,"July 7, 1995",Unreleased,Unreleased,,1995-07-07,,,1995,7,,,,
256,Demolition Man,Virgin Interactive,Acclaim Entertainment,Unreleased,"August 1, 1995","September 28, 1995",,,1995-08-01,1995-09-28,,,1995,8,1995,9
257,Demon's Crest•Demon's Blazon Makaimura Monshō-henJP,Capcom,Capcom,"October 21, 1994","November 1, 1994","March 1, 1995",,1994-10-21,1994-11-01,1995-03-01,1994,10,1994,11,1995,3
258,Dennis the Menace•DennisEU,Ocean Software,Ocean Software,Unreleased,"December 1, 1993",1993,,,1993-12-01,1993-01-01,,,1993,12,1993,1
259,Der Langrisser,NCS,NCS,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
260,Derby Jockey: Kishu Ou heno Michi,Graphic Research,Asmik Ace Entertainment,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
261,Derby Jockey 2,Graphic Research,Asmik Ace Entertainment,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
262,Derby Stallion II,ASCII,ASCII,"February 18, 1994",Unreleased,Unreleased,,1994-02-18,,,1994,2,,,,
263,Derby Stallion III,ASCII,ASCII,"January 20, 1995",Unreleased,Unreleased,,1995-01-20,,,1995,1,,,,
264,Derby Stallion '96,ASCII,ASCII,"March 15, 1996",Unreleased,Unreleased,,1996-03-15,,,1996,3,,,,
265,Derby Stallion '98,Nintendo,Nintendo,"September 1, 1998",Unreleased,Unreleased,,1998-09-01,,,1998,9,,,,
266,Desert Strike: Return to the Gulf,Visual Concepts,Electronic Arts,"March 26, 1992","October 1, 1992",1992,,1992-03-26,1992-10-01,1992-01-01,1992,3,1992,10,1992,1
267,Dezaemon: Kaite Tsukutte Asoberu,Athena,Athena,"September 20, 1994",Unreleased,Unreleased,,1994-09-20,,,1994,9,,,,
268,D-Force•Dimensional ForceJP,Asmik Ace Entertainment,Asmik Ace Entertainment,"December 10, 1991","December 31, 1991",Unreleased,,1991-12-10,1991-12-31,,1991,12,1991,12,,
269,Dharma Doujou,Metro,Den'Z,"February 10, 1995",Unreleased,Unreleased,,1995-02-10,,,1995,2,,,,
270,Dig & Spike Volleyball•Volleyball TwinJP,Tose,Hudson Soft,"November 27, 1992","December 1, 1993",Unreleased,,1992-11-27,1993-12-01,,1992,11,1993,12,,
271,DinoCity•Dino Wars: Kyouryuu Oukoku heno DaiboukenJP,Irem,Irem,"July 17, 1992","September 4, 1992",1992,,1992-07-17,1992-09-04,1992-01-01,1992,7,1992,9,1992,1
272,Dino Dini's Soccer,Eurocom,Virgin Interactive,Unreleased,Unreleased,"November 10, 1994",,,,1994-11-10,,,,,1994,11
273,Dirt Racer,MotiveTime,Elite Systems,Unreleased,Unreleased,"May 31, 1995",,,,1995-05-31,,,,,1995,5
274,Dirt Trax FX,Sculptured Software,Acclaim Entertainment,Unreleased,"June 16, 1995",1995,,,1995-06-16,1995-01-01,,,1995,6,1995,1
275,Disney's Aladdin,Capcom,Capcom,"November 26, 1993","November 21, 1993","January 27, 1994",,1993-11-26,1993-11-21,1994-01-27,1993,11,1993,11,1994,1
276,Disney's Beauty and the Beast•Bijo to YajuuJP,Probe Software,Hudson Soft,"July 8, 1994","July 1, 1994","February 23, 1995",,1994-07-08,1994-07-01,1995-02-23,1994,7,1994,7,1995,2
277,Disney's Bonkers,Sun L,Capcom,"January 3, 1995","December 15, 1994",Unreleased,,1995-01-03,1994-12-15,,1995,1,1994,12,,
278,Disney's Pinocchio,Virgin Interactive,Nintendo,"December 20, 1996","November 1, 1996",1996,,1996-12-20,1996-11-01,1996-01-01,1996,12,1996,11,1996,1
279,Dokapon 3-2-1: Arashi wo Yobu Yujo,Asmik Ace Entertainment,Asmik Ace Entertainment,"December 2, 1994",Unreleased,Unreleased,,1994-12-02,,,1994,12,,,,
280,Dokapon Gaiden: Honoo no Audition,Earthly Soft,Asmik Ace Entertainment,"December 1, 1995",Unreleased,Unreleased,,1995-12-01,,,1995,12,,,,
281,Doukyuusei 2,ELF Corporation,Banpresto,"December 1, 1997",Unreleased,Unreleased,,1997-12-01,,,1997,12,,,,
282,Dolucky's A-League Soccer,Zoom,Imagineer,"July 8, 1994",Unreleased,Unreleased,,1994-07-08,,,1994,7,,,,
283,Dolucky no Kusayakiu,Zoom,Technōs Japan,"December 17, 1993",Cancelled,Unreleased,,1993-12-17,,,1993,12,,,,
284,Dolucky no Puzzle Tour '94,Zoom,Imagineer,"October 28, 1994",Unreleased,Unreleased,,1994-10-28,,,1994,10,,,,
285,Donald Duck no Mahou no Boushi,Pop House/SAS Sakata,Epoch Co.,"August 11, 1995",Unreleased,Unreleased,,1995-08-11,,,1995,8,,,,
286,Donkey Kong Country †•Super Donkey KongJP,Rare,Nintendo,"November 26, 1994","November 21, 1994","November 24, 1994",,1994-11-26,1994-11-21,1994-11-24,1994,11,1994,11,1994,11
287,Donkey Kong Country 2: Diddy's Kong Quest †•Super Donkey Kong 2: Dixie & DiddyJP,Rare,Nintendo,"November 21, 1995","November 20, 1995","December 14, 1995",,1995-11-21,1995-11-20,1995-12-14,1995,11,1995,11,1995,12
288,Donkey Kong Country 3: Dixie Kong's Double Trouble! †•Super Donkey Kong 3: Nazo no Krems ShimaJP,Rare,Nintendo,"November 23, 1996","November 22, 1996","December 13, 1996",,1996-11-23,1996-11-22,1996-12-13,1996,11,1996,11,1996,12
289,Doom,Sculptured Software,Williams Entertainment,"March 1, 1996","September 1, 1995","October 26, 1995",,1996-03-01,1995-09-01,1995-10-26,1996,3,1995,9,1995,10
290,Doom Troopers,Adrenalin Interactive,Playmates Interactive,Unreleased,"November 15, 1995",Unreleased,,,1995-11-15,,,,1995,11,,
291,Doomsday Warrior•Taiketsu!! Brass NumbersJP,Telenet,Renovation Products,"November 20, 1992","April 30, 1993",Unreleased,,1992-11-20,1993-04-30,,1992,11,1993,4,,
292,Doraemon: Nobita to Yousei no Kuni,Pop House/SAS Sakata,Epoch Co.,"February 19, 1993",Unreleased,Unreleased,,1993-02-19,,,1993,2,,,,
293,Doraemon 2: Nobita no Toys Land Daibouken,Pop House/SAS Sakata,Epoch Co.,"December 17, 1993",Unreleased,Unreleased,,1993-12-17,,,1993,12,,,,
294,Doraemon 3: Nobita to Toki no Hougyoku,AIM,Epoch Co.,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
295,Doraemon 4: Nobita to Tsuki no Oukoku,Agenda,Epoch Co.,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
296,DoReMi Fantasy: Milon no Dokidoki Daibouken,Hudson Soft,Hudson Soft,"March 22, 1996",Unreleased,Unreleased,,1996-03-22,,,1996,3,,,,
297,Dossun! Ganseki Battle,I'Max,I'Max,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
298,Double Dragon V: The Shadow Falls,Leland Interactive Media,Tradewest,Unreleased,"August 5, 1994","July 10, 1994",,,1994-08-05,1994-07-10,,,1994,8,1994,7
299,Down the World: Mervil's Ambition,ASCII,ASCII,"September 30, 1994",Unreleased,Unreleased,,1994-09-30,,,1994,9,,,,
300,Downtown Nekketsu Baseball Monogatari: Baseball de Shoufuda! Kunio-kun,Technōs Japan,Technōs Japan,"December 17, 1993",Unreleased,Unreleased,,1993-12-17,,,1993,12,,,,
301,Dr. Mario,,Nintendo,"June 1, 1998",Unreleased,Unreleased,,1998-06-01,,,1998,6,,,,
302,Dragon: The Bruce Lee Story,Virgin Interactive,Acclaim Entertainment,Unreleased,"July 1, 1995","February 23, 1995",,,1995-07-01,1995-02-23,,,1995,7,1995,2
303,Dragon Ball Z: Hyper Dimension,Tose,Bandai,"December 31, 1996",Unreleased,February 1997,,1996-12-31,,1997-02-01,1996,12,,,1997,2
304,Dragon Ball Z: Super Saiya Densetsu,Tose,Bandai,"January 25, 1992",Unreleased,Unreleased,,1992-01-25,,,1992,1,,,,
305,Dragon Ball Z: Super Butouden,Tose,Bandai,"March 20, 1993",Unreleased,"November 30, 1993",,1993-03-20,,1993-11-30,1993,3,,,1993,11
306,Dragon Ball Z: Super Butouden 2 †•Dragon Ball Z 2: la Légende SaienFR,Tose,Bandai,"December 17, 1993",Unreleased,June 1994,,1993-12-17,,1994-06-01,1993,12,,,1994,6
307,Dragon Ball Z: Super Butouden 3 †•Dragon Ball Z: ChomutujeonKR †•Dragon Ball Z: Ultime Menace FR,Tose,Bandai,"September 29, 1994",Unreleased,March 1995,,1994-09-29,,1995-03-01,1994,9,,,1995,3
308,Dragon Ball Z: Super Gokuden Totsugeki Hen,Tose,Bandai,"March 24, 1995",Unreleased,Unreleased,,1995-03-24,,,1995,3,,,,
309,Dragon Ball Z: Super Gokuden Kakusei Hen,Tose,Bandai,"September 22, 1995",Unreleased,Unreleased,,1995-09-22,,,1995,9,,,,
310,Dragon Knight 4,ELF Corporation,Banpresto,"December 27, 1996",Unreleased,Unreleased,,1996-12-27,,,1996,12,,,,
311,Dragon Quest I & II,Chunsoft,Enix,"December 18, 1993",Unreleased,Unreleased,,1993-12-18,,,1993,12,,,,
312,Dragon Quest III: Soshite Densetsu e...,Heartbeat,Enix,"December 6, 1996",Unreleased,Unreleased,,1996-12-06,,,1996,12,,,,
313,Dragon Quest V: Tenkuu no Hanayome,Chunsoft,Enix,"September 27, 1992",Cancelled,Unreleased,,1992-09-27,,,1992,9,,,,
314,Dragon Quest VI: Maboroshi no Daichi,Heartbeat,Enix,"December 9, 1995",Unreleased,Unreleased,,1995-12-09,,,1995,12,,,,
315,Dragon Slayer: Eiyuu Densetsu,Falcom,Epoch Co.,"February 14, 1992",Unreleased,Unreleased,,1992-02-14,,,1992,2,,,,
316,Dragon Slayer: Eiyuu Densetsu II,Falcom,Epoch Co.,"June 4, 1993",Unreleased,Unreleased,,1993-06-04,,,1993,6,,,,
317,Dragon View•Super DrakkhenJP,Kemco,Kemco,"August 26, 1994","November 17, 1994",Unreleased,,1994-08-26,1994-11-17,,1994,8,1994,11,,
318,Dragon's Earth,Human Entertainment,Human Entertainment,"January 22, 1993",Unreleased,Unreleased,,1993-01-22,,,1993,1,,,,
319,Dragon's Lair•Dragon's MagicJP,MotiveTime,Konami (JP)Data East (NA)Elite Systems (EU),"June 25, 1993","February 1, 1993",1993,,1993-06-25,1993-02-01,1993-01-01,1993,6,1993,2,1993,1
320,Drakkhen,Kemco,Kemco (JP/EU)Seika Corporation (NA),"May 24, 1991","September 1, 1991",1992,,1991-05-24,1991-09-01,1992-01-01,1991,5,1991,9,1992,1
321,Dream Basketball: Dunk & Hoop,Human Entertainment,Human Entertainment,"November 18, 1994",Unreleased,Unreleased,,1994-11-18,,,1994,11,,,,
322,Dream TV,Triffix,Triffix,Unreleased,"April 1, 1994",Unreleased,,,1994-04-01,,,,1994,4,,
323,Dual Orb,I'Max,I'Max,"April 16, 1993",Unreleased,Unreleased,,1993-04-16,,,1993,4,,,,
324,Dual Orb II,I'Max,I'Max,"December 29, 1994",Unreleased,Unreleased,,1994-12-29,,,1994,12,,,,
325,The Duel: Test Drive II,Distinctive Software,Accolade,Unreleased,"December 1, 1992",1992,,,1992-12-01,1992-01-01,,,1992,12,1992,1
326,Dungeon Master,Software Heaven / FTL Games,JVC Musical Industries,"December 20, 1991","June 1, 1993",1993,,1991-12-20,1993-06-01,1993-01-01,1991,12,1993,6,1993,1
327,DunQuest: Majin Fuuin no Densetsu,Technōs Japan,Technōs Japan,"July 21, 1995",Unreleased,Unreleased,,1995-07-21,,,1995,7,,,,
328,Dynamite: The Las Vegas,Micro Factory,Virgin Interactive,"April 28, 1994",Unreleased,Unreleased,,1994-04-28,,,1994,4,,,,
329,Dynamic Stadium,Electronics Application,Sammy Corporation,"November 26, 1993",Unreleased,Unreleased,,1993-11-26,,,1993,11,,,,
330,E.V.O.: Search for Eden•46 Okunen Monogatari: Harukanaru Eden eJP,Almanic,Enix,"December 19, 1992","July 15, 1993",Unreleased,,1992-12-19,1993-07-15,,1992,12,1993,7,,
331,EarthBound•Mother 2JP,"HAL Laboratory / Ape, Inc.",Nintendo,"August 27, 1994","June 5, 1995",Unreleased,,1994-08-27,1995-06-05,,1994,8,1995,6,,
332,Earth Light [ja],Hudson Soft,Hudson Soft,"July 24, 1992",Unreleased,Unreleased,,1992-07-24,,,1992,7,,,,
333,Earth Light: Luna Strike [ja],Hudson Soft,Hudson Soft,"July 26, 1996",Unreleased,Unreleased,,1996-07-26,,,1996,7,,,,
